City_ID,City Name,Latitude,Longitude,Temperature,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country
98,Hermanus,-34.4187,19.2345,54.81,54.81,54.81,79,1,2.84,ZA
99,Constanța,44.1833,28.65,43.48,43.48,43.48,89,100,12.08,RO
100,Prado,-17.3411,-39.2208,74.1,74.1,74.1,96,66,7.27,BR
101,Kargopol',61.5071,38.9456,18.63,18.63,18.63,97,94,2.77,RU
102,Codrington,-38.2667,141.9667,62.64,62.64,62.64,55,54,18.57,AU
103,Sandnessjøen,66.0217,12.6316,39.31,39.42,39.31,81,75,20.71,NO
104,Harbin,45.75,126.65,16.54,16.54,16.54,67,7,7.2,CN
105,Haiku-Pauwela,20.9219,-156.3051,75.09,77.25,74.19,78,39,13.0,US
106,Province of Trapani,37.8333,12.6667,55.49,56.28,55.49,88,75,18.41,IT
107,Kloulklubed,7.0419,134.2556,82.63,82.63,82.63,74,100,6.98,PW
108,Ilulissat,69.2167,-51.1,30.22,30.22,30.22,55,75,17.27,GL
109,Menongue,-14.6585,17.691,64.22,64.22,64.22,81,100,3.53,AO
110,Utrik,11.2278,169.8474,81.66,81.66,81.66,78,82,23.17,MH
111,Stanley,54.868,-1.6985,39.81,41.02,38.5,86,100,26.46,GB
112,Lompoc,34.6391,-120.4579,50.81,53.13,50.72,100,100,0.0,US
113,Nova Sintra,14.8667,-24.7167,77.36,77.36,77.36,73,100,9.98,CV
114,Forster,-32.1667,152.5167,76.95,76.95,76.95,80,12,12.77,AU
115,Crane,31.3974,-102.3501,44.53,44.53,44.53,89,0,7.9,US
116,Coquimbo,-29.9533,-71.3436,55.98,58.73,55.98,81,0,3.44,CL
117,Pacific Grove,36.6177,-121.9166,53.24,55.08,51.67,91,0,8.99,US
118,Alofi,-19.0595,-169.9187,84.09,84.09,84.09,79,71,10.36,NU
119,Tiksi,71.6872,128.8694,-14.39,-14.39,-14.39,98,100,6.76,RU
120,Koné,-21.0595,164.8658,85.69,85.69,85.69,57,80,4.85,NC
121,Camabatela,-8.1881,15.375,62.91,62.91,62.91,98,100,1.83,AO
122,Kez,57.8979,53.7152,11.19,11.19,11.19,95,95,4.7,RU
123,Polyarny,69.1989,33.4478,33.48,33.48,33.48,86,98,20.47,RU
124,Luwuk,-0.9516,122.7875,82.44,82.44,82.44,69,87,4.25,ID
125,Milford Haven,51.7128,-5.0341,47.1,47.1,47.1,75,26,38.5,GB
126,Port Mathurin,-19.6833,63.4167,76.89,76.89,76.89,86,56,19.98,MU
127,Gwanda,-20.9333,29.0,71.15,71.15,71.15,76,73,11.83,ZW
128,Bo`ka,40.8108,69.1986,28.62,28.62,28.62,88,100,8.77,UZ
129,Scarborough,54.2797,-0.4044,45.37,46.83,43.92,69,100,14.0,GB
130,Kuta,-8.7233,115.1723,87.75,87.75,87.75,79,75,17.27,ID
131,Weno,7.4515,151.8468,87.75,87.75,87.75,74,100,4.61,FM
132,Labytnangi,66.6572,66.4183,0.3,0.3,0.3,91,20,7.16,RU
